CROP_YEAR,STATE_CODE,STATE_ABBR,COUNTY_CODE,COUNTY_NAME,CROP_CODE,CROP_NAME,INSURANCE_PLAN_CODE,INSURANCE_PLAN_NAME,STAGE_CODE,COVERAGE_TYPE,COVERAGE_LEVEL,POLICIES_SOLD,POLICIES_EARNING_PREMIUM,POLICIES_INDEMNIFIED,UNITS_EARNING_PREMIUM,UNITS_INDEMNIFIED,QUANTITY_TYPE,NET_REPORTED_QUANTITY,COMPANION_QUANTITY,LIABILITY,TOTAL_PREMIUM,PRODUCER_PREMIUM,SUBSIDY,STATE_SUBSIDY,ADDITIONAL_SUBSIDY,INDEMNITY,LOSS_RATIO
2023,17,IL,5,Bond                          ,41,Corn                          ,32,SCO-RP    ,A    ,RBUP,0.75,17,15,15,57,57,Acres                    ,0.0,1822,219169.0,75151.0,48850,0,0,0,13372.0,0.17793509068408936
2023,19,IA,27,Carroll                       ,81,Soybeans                      ,2,RP        ,A    ,RBUP,0.85,509,394,232,713,386,Acres                    ,65169.0,0,46943887.0,2340064.0,1012186,617,0,0,3304192.0,1.412009244191612
2023,19,IA,193,Woodbury                      ,41,Corn                          ,1,YP        ,A    ,RBUP,0.8,2,1,1,1,1,Acres                    ,61.0,0,62871.0,2292.0,1100,0,0,0,17198.0,7.503490401396161
2023,48,TX,395,Robertson                     ,41,Corn                          ,2,RP        ,A    ,RBUP,0.7,5,2,0,10,0,Acres                    ,2763.0,0,1538983.0,196676.0,129069,0,0,0,0.0,0.0
2023,31,NE,87,Hitchcock                     ,11,Wheat                         ,2,RP        ,A    ,RBUP,0.8,65,40,27,79,50,Acres                    ,10716.0,0,4246663.0,777704.0,400471,0,0,0,1641761.0,2.11103581825476
2023,39,OH,63,Hancock                       ,11,wheat                         ,32,SCO-RP    ,A    ,RBUP,0.8,2,0,0,0,0,Acres                    ,0.0,0,0.0,0.0,0,0,0,0,0.0,
2023,19,IA,195,Worth                         ,81,Soybeans                      ,32,SCO-RP    ,A    ,RBUP,0.85,3,3,3,6,6,Acres                    ,0.0,646,5274.0,9999999999.0,1049,0,0,0,3850.0,3.850000000385e-07
2023,39,OH,17,Butler                        ,11,Wheat                         ,3,RPHPE     ,A    ,RBUP,0.85,1,0,0,0,0,Acres                    ,0.0,0,0.0,0.0,0,0,0,0,0.0,
2023,46,SD,135,YANKTON                       ,81,Soybeans                      ,2,RP        ,A    ,RBUP,0.85,9,5,2,5,2,Acres                    ,755.0,0,446856.0,51847.0,23952,0,0,0,42683.0,0.8232491754585608
2023,48,TX,133,Eastland                      ,11,Wheat                         ,2,RP        ,A    ,RBUP,0.7,9,3,2,3,2,Acres                    ,389.0,0,21166.0,13462.0,9861,0,0,0,13308.0,0.988560392215124
